Paper_code,Compound_name,CAS,Quantity,Plant_parts,Techniques,Formula,Classification,Activity,Plant_type,Exp_condition,IUPAC
JELcabr2012Lea,gamma-terpinene,99-85-4,3.43,Leaves,GC-FID and GC-MS,C10H16,monoterpene,ACE-Inhibitor Acaricide Aldose-Reductase-Inhibitor - Antiacetylcholinesterase É?? Antifeedant Antioxidant Insectifuge Irritant Perfumery Pesticide,Weed,seosnal variability (September/2008),"1-methyl-4-propan-2-ylcyclohexa-1,4-diene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,gamma-terpinene,99-85-4,3.43,Leaves,GC-FID and GC-MS,C10H16,monoterpene,ACE-Inhibitor Acaricide Aldose-Reductase-Inhibitor - Antiacetylcholinesterase É?? Antifeedant Antioxidant Insectifuge Irritant Perfumery Pesticide,Weed,seosnal variability (September/2008),"1-methyl-4-propan-2-ylcyclohexa-1,4-diene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,gamma-terpinene,99-85-4,3.43,Leaves,GC-FID and GC-MS,C10H16,monoterpene,ACE-Inhibitor Acaricide Aldose-Reductase-Inhibitor - Antiacetylcholinesterase É?? Antifeedant Antioxidant Insectifuge Irritant Perfumery Pesticide,Weed,seosnal variability (September/2008),"1-methyl-4-propan-2-ylcyclohexa-1,4-diene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,trans - sabinene hydrate,NA,0.49,Leaf,GC and GC/MS,NA,NA,NA,Weed,Normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,trans - sabinene hydrate,NA,0.49,Leaf,GC and GC/MS,NA,NA,NA,Weed,Normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2010Lea,germacrene,NA,1.17,Leaves,GC/MS,C15H28,NA,NA,Weed,different collect times(1:00 pm),"(1E,3S,6S,9R)-3,9-dimethyl-6-propan-2-ylcyclodecene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcama1999Flo,trans-sabinenhydrate,NA,tr,Flower and leaves,GC/FID and GC/MS,NA,NA,NA,Weed,normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,p-cymene,NA,1.51,Leaves,GC and GC/MS,C10H14,related to monoterpene,"Analgesic, Antiacetylcholinesterase, Antibacillary, Antibacterial, Antiflu, Antirheumatalgic, Antiviral, Flavor, Fungicide, Herbicide, Insectifuge, Irritant, Laxative Pesticide, Sedative, Trichomonicide",Weed,shade-dried,"1-methyl-4-propan-2-ylbenzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,p-cymene,NA,1.51,Leaves,GC and GC/MS,C10H14,related to monoterpene,"Analgesic, Antiacetylcholinesterase, Antibacillary, Antibacterial, Antiflu, Antirheumatalgic, Antiviral, Flavor, Fungicide, Herbicide, Insectifuge, Irritant, Laxative Pesticide, Sedative, Trichomonicide",Weed,shade-dried,"1-methyl-4-propan-2-ylbenzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2002Lea,n-nuciferyl acetate,NA,0.1,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydrodistillation (conventional),"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2002Lea,myrcene,123-35-3,1.7,Leaves,GC and GC/MS,C10H16,monoterpene,flammable,Weed,hydrodistillation (conventional),"7-methyl-3-methylideneocta-1,6-diene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcama1999Flo,nerolidol,NA,2.28,Flower and leaves,GC/FID and GC/MS,C15H26O,sesquiterpenol,"Antileishmanial Activity, under testing as a skin penetration enhancer for the transdermal delivery of therapeutic drugs, was evaluated against Leishmania species. Nerolidol inhibited the growth of Leishmania amazonensis, L. braziliensis, and L. chagasi promastigotes and L. amazonensis amastigotes, antimalarial",Weed,normal,"(6E)-3,7,11-trimethyldodeca-1,6,10-trien-3-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2002Lea,geranyl propionate,105-90-8,0.2,Leaves,GC and GC/MS,C13H22O2,NA,NA,Weed,hydrodistillation (conventional),"[(2E)-3,7-dimethylocta-2,6-dienyl] propanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaeg2012Lea,trans-sabinene,NA,1.09,Leaves,GC and GC/MS,NA,NA,NA,Weed,Normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcacu2004Lea,unknown 3,NA,2.7,Leaves,GC-FID and GC/MS,NA,NA,NA,Weed,air-dried,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,terpinene-4-ol,NA,0.6,Leaves,GC and GC/MS,C10H18O,NA,NA,Weed,hydrodistillation,"4-methyl-1-propan-2-ylcyclohex-3-en-1-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,terpinene-4-ol,NA,0.6,Leaves,GC and GC/MS,C10H18O,NA,NA,Weed,hydrodistillation,"4-methyl-1-propan-2-ylcyclohex-3-en-1-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,terpinene-4-ol,NA,0.6,Leaves,GC and GC/MS,C10H18O,NA,NA,Weed,hydrodistillation,"4-methyl-1-propan-2-ylcyclohex-3-en-1-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,terpinene-4-ol,NA,0.6,Leaves,GC and GC/MS,C10H18O,NA,NA,Weed,hydrodistillation,"4-methyl-1-propan-2-ylcyclohex-3-en-1-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,(z)-beta-ocimene,3338-55-4,0.9,Leaves,GC and GC/MS,C10H16,monoterpene,NA,Weed,hydrodistillation,"(3Z)-3,7-dimethylocta-1,3,6-triene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,(z)-beta-ocimene,3338-55-4,0.9,Leaves,GC and GC/MS,C10H16,monoterpene,NA,Weed,hydrodistillation,"(3Z)-3,7-dimethylocta-1,3,6-triene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,(z)-beta-ocimene,3338-55-4,0.9,Leaves,GC and GC/MS,C10H16,monoterpene,NA,Weed,hydrodistillation,"(3Z)-3,7-dimethylocta-1,3,6-triene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,(z)-beta-ocimene,3338-55-4,0.9,Leaves,GC and GC/MS,C10H16,monoterpene,NA,Weed,hydrodistillation,"(3Z)-3,7-dimethylocta-1,3,6-triene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcasobe2014Lea,myrcene,123-35-3,1.5,Leaves,GC/MS,C10H16,monoterpene,flammable,Weed,normal,"7-methyl-3-methylideneocta-1,6-diene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcama1999Flo,alpha-phellandrene,99-83-2,0.31,Flower and leaves,GC/FID and GC/MS,C10H16,cyclic monoterpene,pheromone,Weed,normal,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,cis-thujopsene,NA,0.47,Leaves,GC and GC/MS,C15H24,NA,NA,Weed,hydro-distillation,"(1aS,4aS,8aS)-2,4a,8,8-tetramethyl-1,1a,4,5,6,7-hexahydrocyclopropa[j]naphthalene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,cis-thujopsene,NA,0.47,Leaves,GC and GC/MS,C15H24,NA,NA,Weed,hydro-distillation,"(1aS,4aS,8aS)-2,4a,8,8-tetramethyl-1,1a,4,5,6,7-hexahydrocyclopropa[j]naphthalene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,cis-thujopsene,NA,0.47,Leaves,GC and GC/MS,C15H24,NA,NA,Weed,hydro-distillation,"(1aS,4aS,8aS)-2,4a,8,8-tetramethyl-1,1a,4,5,6,7-hexahydrocyclopropa[j]naphthalene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,cis-thujopsene,NA,0.47,Leaves,GC and GC/MS,C15H24,NA,NA,Weed,hydro-distillation,"(1aS,4aS,8aS)-2,4a,8,8-tetramethyl-1,1a,4,5,6,7-hexahydrocyclopropa[j]naphthalene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaca1999Flo,humulene epoxide,NA,0.68,Flower and leaves,GC/FID and GC/MS,C15H24O,NA,NA,Weed,normal,"(4E,7E)-3,3,7,11-tetramethyl-12-oxabicyclo[9.1.0]dodeca-4,7-diene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,spatulenol,NA,0.45,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,spatulenol,NA,0.45,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,spatulenol,NA,0.45,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,spatulenol,NA,0.45,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaal2012Aer,alpha-cadinene,24406-05-1,0.14,Aerial part,GC and GC/MS,C15H24,"Pseudoguaianolide, sesquiterpene",NA,Weed,Hydrodistillation (biological),"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaal2012Aer,alpha-cadinene,24406-05-1,0.14,Aerial part,GC and GC/MS,C15H24,"Pseudoguaianolide, sesquiterpene",NA,Weed,Hydrodistillation (biological),"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2002Lea,1-nonadecanol,1454-84-8,0.6,Leaves,GC and GC/MS,C19H40O,NA,NA,Weed,hydrodistillation (conventional),"nonadecan-1-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaal2012Aer,betalpha-guainenea,NA,2.74,Aerial part,GC and GC/MS,NA,NA,NA,Weed,Hydrodistillation (biological),"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaal2012Aer,betalpha-guainenea,NA,2.74,Aerial part,GC and GC/MS,NA,NA,NA,Weed,Hydrodistillation (biological),"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,germacrene-d,NA,24.9,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,germacrene-d,NA,24.9,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,germacrene-d,NA,24.9,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,germacrene-d,NA,24.9,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaca1999Flo,limonene,138-86-3,0.11,Flower and leaves,GC/FID and GC/MS,C10H16,monoterpene,"AChE-Inhibitor, Acaricide, Allelochemic, Allergenic, Antiacetylcholinesterase, Antialzheimeran, Antiasthmatic Antibacterial, Anticancer, Antifeedant, Antiflu, Antiinflammatory Antilithic, Antilymphomic, Antimutagenic, Antiobesity Antiseptic, Antispasmodic, Antitumor, Antitumor (Breast) - Antitumor (Pancreas), Antitumor (Prostate), Antiviral Apoptotic, Bronchoprotectant, Cancer-Preventive Candidistat, Chemopreventive, Detoxicant, Enterocontractant Expectorant, Fungiphilic, Fungistat, GST-Inducer, Herbicide Histaminic, Immunomodulator, Insecticide, Insectifuge, Irritant, Lipolytic, Myorelaxant, NO-Genic, Nematicide Ornithine-Decarboxylase-Inhibitor, Ozone-Scavenger, P450-Inducer, Pesticide, Photosensitizer, Sedative, Transdermal",Weed,normal,"1-methyl-4-prop-1-en-2-ylcyclohexene,,,,,,,,,,,,,,,,,,,"
JELcaeg2014Lea,z-caryophyllene,NA,8.18,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydrodistillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcama1999Flo,phytol,150-86-7,0.15,Flower and leaves,GC/FID and GC/MS,C20H40O,diterpene alcohol,for preparation of vitamins E and K1,Weed,normal,"(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcama1999Flo,delta-elemene,20307-84-0,0.04,Flower and leaves,GC/FID and GC/MS,NA,NA,NA,Weed,normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcair2012Lea,germacrene-d,NA,13.16,Leaves,GC/MS,NA,NA,NA,Weed,normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcasobe2014Lea,aromadandrene,NA,0.7,Leaves,GC/MS,NA,NA,NA,Weed,normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaeg2012Lea,isoaromadendrene epoxide,NA,0.32,Leaves,GC and GC/MS,NA,NA,NA,Weed,Normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,trans - nerolidol,NA,2.14,Leaf,GC and GC/MS,NA,NA,NA,Weed,Normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,trans - nerolidol,NA,2.14,Leaf,GC and GC/MS,NA,NA,NA,Weed,Normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,alpha-cariophylene,NA,8.34,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,alpha-cariophylene,NA,8.34,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,alpha-cariophylene,NA,8.34,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,alpha-cariophylene,NA,8.34,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2010Lea,germacrene,NA,21.3,Leaves,GC/MS,C15H28,NA,NA,Weed,different collect times(10:00 am),"(1E,3S,6S,9R)-3,9-dimethyl-6-propan-2-ylcyclodecene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaca1999Flo,tridecane,629-50-5,tr,Flower and leaves,GC/FID and GC/MS,C13H28,alkaline hydrocarbon of paraffinn series,secreted by insect for defence,Weed,normal,"tridecane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,alpha-thujene,3917-48-4,0.53,Leaves,GC and GC/MS,C10H16,monoterpene,pungency,Weed,shade-dried,"4-methyl-1-propan-2-ylbicyclo[3.1.0]hex-3-ene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,alpha-thujene,3917-48-4,0.53,Leaves,GC and GC/MS,C10H16,monoterpene,pungency,Weed,shade-dried,"4-methyl-1-propan-2-ylbicyclo[3.1.0]hex-3-ene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2010Lea,gamma-gurjunene,22567-17-5,3.45,Leaves,GC/MS,NA,NA,NA,Weed,different collect times(10:00 am),"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaal2012Aer,camphene,79-92-5,0.02,Aerial part,GC and GC/MS,C10H16,monoterpene derivative,"Allelopathic, Antilithic, Antioxidant, Expectorant, Hypocholesterolemic, Insectifuge, Pesticide, Spasmogenic",Weed,Hydrodistillation (biological),"3,3-dimethyl-2-methylidenebicyclo[2.2.1]heptane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaal2012Aer,camphene,79-92-5,0.02,Aerial part,GC and GC/MS,C10H16,monoterpene derivative,"Allelopathic, Antilithic, Antioxidant, Expectorant, Hypocholesterolemic, Insectifuge, Pesticide, Spasmogenic",Weed,Hydrodistillation (biological),"3,3-dimethyl-2-methylidenebicyclo[2.2.1]heptane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,alpha-terpinyl acetate,80-26-2,3.65,Leaves,GC-FID and GC-MS,C12H20O2,monoterpene,NA,Weed,seosnal variability (September/2008),"2-(4-methylcyclohex-3-en-1-yl)propan-2-yl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,alpha-terpinyl acetate,80-26-2,3.65,Leaves,GC-FID and GC-MS,C12H20O2,monoterpene,NA,Weed,seosnal variability (September/2008),"2-(4-methylcyclohex-3-en-1-yl)propan-2-yl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,alpha-terpinyl acetate,80-26-2,3.65,Leaves,GC-FID and GC-MS,C12H20O2,monoterpene,NA,Weed,seosnal variability (September/2008),"2-(4-methylcyclohex-3-en-1-yl)propan-2-yl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,alpha-terpinyl acetate,80-26-2,3.65,Leaves,GC-FID and GC-MS,C12H20O2,monoterpene,NA,Weed,seosnal variability (September/2008),"2-(4-methylcyclohex-3-en-1-yl)propan-2-yl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,beta- selinene,NA,1.635,Leaves,GC-MS-MS,NA,NA,NA,Weed,normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,beta- selinene,NA,1.635,Leaves,GC-MS-MS,NA,NA,NA,Weed,normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,limonene,138-86-3,7.68,Leaves,GC-FID and GC-MS,C10H16,monoterpene,"AChE-Inhibitor, Acaricide, Allelochemic, Allergenic, Antiacetylcholinesterase, Antialzheimeran, Antiasthmatic Antibacterial, Anticancer, Antifeedant, Antiflu, Antiinflammatory Antilithic, Antilymphomic, Antimutagenic, Antiobesity Antiseptic, Antispasmodic, Antitumor, Antitumor (Breast) - Antitumor (Pancreas), Antitumor (Prostate), Antiviral Apoptotic, Bronchoprotectant, Cancer-Preventive Candidistat, Chemopreventive, Detoxicant, Enterocontractant Expectorant, Fungiphilic, Fungistat, GST-Inducer, Herbicide Histaminic, Immunomodulator, Insecticide, Insectifuge, Irritant, Lipolytic, Myorelaxant, NO-Genic, Nematicide Ornithine-Decarboxylase-Inhibitor, Ozone-Scavenger, P450-Inducer, Pesticide, Photosensitizer, Sedative, Transdermal",Weed,seosnal variability (September/2008),"1-methyl-4-prop-1-en-2-ylcyclohexene,,,,,,,,,,,,,,,,,,,"
